StartTime: 2018-09-14 11:07:50.512
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Lon(deg)	Lat(deg) 
16.627	-0.0288	0.0190	1.0186	0.0000	0.0000	0.0000	1.0822	1.5930	159.8456	36.0200	36	-101	29	0.00000000	0.00000000 
16.727	-0.0283	0.0190	1.0181	0.0000	0.0000	0.0000	1.0767	1.5930	159.8511	36.0000	36	-101	29	0.00000000	0.00000000 
16.827	-0.0283	0.0190	1.0181	0.0000	0.0000	0.0000	1.0767	1.5930	159.8621	36.0400	35	-101	29	0.00000000	0.00000000 
16.927	-0.0283	0.0190	1.0186	0.0000	0.0000	0.0000	1.0767	1.5930	159.8950	36.0500	35	-100	30	0.00000000	0.00000000 
17.027	-0.0278	0.0195	1.0186	0.0000	0.0000	0.0000	1.0767	1.5930	159.9225	36.0500	35	-100	31	0.00000000	0.00000000 
17.126	-0.0278	0.0195	1.0181	0.0000	0.0000	0.0000	1.0822	1.5930	159.9390	36.0700	36	-100	30	0.00000000	0.00000000 
17.233	-0.0278	0.0195	1.0181	0.0000	0.0000	0.0000	1.0822	1.5875	159.9445	36.0900	36	-100	29	0.00000000	0.00000000 
17.326	-0.0283	0.0195	1.0176	0.0000	0.0000	0.0000	1.0822	1.5875	159.9390	36.0500	37	-101	29	0.00000000	0.00000000 
17.430	-0.0283	0.0195	1.0176	0.0000	0.0000	0.0000	1.0822	1.5875	159.9390	36.1100	37	-102	30	0.00000000	0.00000000 
17.525	-0.0283	0.0195	1.0181	0.0000	0.0000	0.0000	1.0822	1.5875	159.9335	35.9700	36	-100	29	0.00000000	0.00000000 
17.655	-0.0283	0.0195	1.0181	0.0000	0.0000	0.0000	1.0822	1.5875	159.9609	36.0500	36	-100	29	0.00000000	0.00000000 
17.801	-0.0283	0.0195	1.0181	0.0000	0.0000	0.0000	1.0822	1.5875	159.9829	36.1100	36	-100	29	0.00000000	0.00000000 
17.837	-0.0288	0.0195	1.0181	0.0000	0.0000	0.0000	1.0822	1.5875	159.9939	36.0800	35	-101	30	0.00000000	0.00000000 
17.924	-0.0283	0.0190	1.0186	0.0000	0.0000	0.0000	1.0822	1.5930	160.0049	36.0500	36	-102	29	0.00000000	0.00000000 
18.047	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0822	1.5930	160.0378	36.0800	34	-101	29	0.00000000	0.00000000 
18.124	-0.0278	0.0186	1.0181	0.0000	0.0000	0.0000	1.0822	1.5875	160.0543	36.1800	37	-101	31	0.00000000	0.00000000 
18.243	-0.0278	0.0186	1.0186	0.0000	0.0000	0.0000	1.0822	1.5875	160.0159	36.1400	37	-101	30	0.00000000	0.00000000 
18.323	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0767	1.5875	160.0104	36.1000	37	-101	30	0.00000000	0.00000000 
18.434	-0.0283	0.0195	1.0186	0.0000	0.0000	0.0000	1.0767	1.5875	160.0159	36.1400	36	-102	29	0.00000000	0.00000000 
18.523	-0.0283	0.0190	1.0186	0.0000	0.0000	0.0000	1.0822	1.5875	160.0049	36.1200	37	-101	29	0.00000000	0.00000000 
18.623	-0.0283	0.0190	1.0190	0.0000	0.0000	0.0000	1.0822	1.5875	160.0104	36.1800	35	-100	30	0.00000000	0.00000000 
18.723	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0767	1.5875	160.0269	36.2000	36	-101	30	0.00000000	0.00000000 
18.822	-0.0283	0.0195	1.0181	0.0000	0.0000	0.0000	1.0822	1.5820	160.0433	36.1500	36	-101	30	0.00000000	0.00000000 
18.922	-0.0283	0.0195	1.0181	0.0000	0.0000	0.0000	1.0822	1.5820	160.0488	36.1800	36	-101	30	0.00000000	0.00000000 
19.022	-0.0283	0.0190	1.0181	0.0000	0.0000	0.0000	1.0822	1.5875	160.0104	36.1700	37	-102	30	0.00000000	0.00000000 
19.122	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0822	1.5820	159.9829	36.2100	37	-101	29	0.00000000	0.00000000 
19.221	-0.0283	0.0190	1.0181	0.0000	0.0000	0.0000	1.0767	1.5820	159.9554	36.1800	37	-101	29	0.00000000	0.00000000 
19.321	-0.0288	0.0190	1.0176	0.0000	0.0000	0.0000	1.0767	1.5820	159.9609	36.2000	36	-100	31	0.00000000	0.00000000 
19.421	-0.0278	0.0190	1.0176	0.0000	0.0000	0.0000	1.0767	1.5820	159.9390	36.2300	37	-102	30	0.00000000	0.00000000 
19.520	-0.0278	0.0186	1.0181	0.0000	0.0000	0.0000	1.0767	1.5820	159.9335	36.1900	36	-101	30	0.00000000	0.00000000 
19.620	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0767	1.5820	159.9335	36.2300	37	-101	30	0.00000000	0.00000000 
19.936	-0.0273	0.0190	1.0181	0.0000	0.0000	0.0000	1.0767	1.5820	159.9115	36.1500	37	-101	30	0.00000000	0.00000000 
19.949	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0767	1.5765	159.9280	36.2300	36	-100	31	0.00000000	0.00000000 
19.951	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0712	1.5765	159.9280	36.2200	37	-101	30	0.00000000	0.00000000 
20.032	-0.0278	0.0195	1.0186	0.0000	0.0000	0.0000	1.0712	1.5765	159.9005	36.2400	37	-101	30	0.00000000	0.00000000 
20.119	-0.0278	0.0195	1.0186	0.0000	0.0000	0.0000	1.0767	1.5765	159.9005	36.2600	36	-101	31	0.00000000	0.00000000 
20.220	-0.0278	0.0195	1.0186	0.0000	0.0000	0.0000	1.0767	1.5765	159.8950	36.2200	37	-100	31	0.00000000	0.00000000 
20.319	-0.0273	0.0195	1.0186	0.0000	0.0000	0.0000	1.0767	1.5765	159.8730	36.2800	37	-101	30	0.00000000	0.00000000 
20.418	-0.0273	0.0195	1.0186	0.0000	0.0000	0.0000	1.0767	1.5710	159.8840	36.3200	36	-101	30	0.00000000	0.00000000 
20.518	-0.0273	0.0195	1.0186	0.0000	0.0000	0.0000	1.0767	1.5710	159.8895	36.3200	36	-101	31	0.00000000	0.00000000 
20.618	-0.0278	0.0195	1.0181	0.0000	0.0000	0.0000	1.0822	1.5710	159.9225	36.3000	36	-102	30	0.00000000	0.00000000 
20.718	-0.0273	0.0195	1.0181	0.0000	0.0000	0.0000	1.0822	1.5656	159.9060	36.2900	37	-101	30	0.00000000	0.00000000 
20.818	-0.0273	0.0200	1.0186	0.0000	0.0000	0.0000	1.0822	1.5656	159.9115	36.2900	36	-102	30	0.00000000	0.00000000 
20.918	-0.0278	0.0200	1.0190	0.0000	0.0000	0.0000	1.0822	1.5656	159.9115	36.3700	36	-100	30	0.00000000	0.00000000 
21.017	-0.0278	0.0195	1.0190	0.0000	0.0000	0.0000	1.0876	1.5656	159.9445	36.3400	36	-102	29	0.00000000	0.00000000 
21.117	-0.0278	0.0186	1.0186	0.0000	0.0000	0.0000	1.0822	1.5656	159.9445	36.3300	37	-100	30	0.00000000	0.00000000 
21.217	-0.0278	0.0186	1.0186	0.0000	0.0000	0.0000	1.0822	1.5656	159.9390	36.3100	37	-101	30	0.00000000	0.00000000 
21.317	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0822	1.5656	159.9390	36.3600	36	-101	30	0.00000000	0.00000000 
21.417	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0767	1.5656	159.9554	36.3900	36	-101	31	0.00000000	0.00000000 
21.516	-0.0273	0.0190	1.0181	0.0000	0.0000	0.0000	1.0767	1.5656	159.9664	36.4000	36	-100	29	0.00000000	0.00000000 
21.616	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0767	1.5656	159.9664	36.4000	36	-100	29	0.00000000	0.00000000 
21.716	-0.0283	0.0186	1.0176	0.0000	0.0000	0.0000	1.0767	1.5656	159.9774	36.4200	36	-101	30	0.00000000	0.00000000 
21.816	-0.0288	0.0186	1.0176	0.0000	0.0000	0.0000	1.0767	1.5656	159.9774	36.4100	36	-101	30	0.00000000	0.00000000 
21.916	-0.0288	0.0190	1.0181	0.0000	0.0000	0.0000	1.0712	1.5710	159.9939	36.3600	36	-101	28	0.00000000	0.00000000 
22.015	-0.0278	0.0195	1.0181	0.0000	0.0000	0.0000	1.0767	1.5710	159.9994	36.3700	36	-101	30	0.00000000	0.00000000 
22.115	-0.0273	0.0190	1.0181	0.0000	0.0000	0.0000	1.0767	1.5710	160.0104	36.4200	35	-99	30	0.00000000	0.00000000 
22.215	-0.0273	0.0190	1.0181	0.0000	0.0000	0.0000	1.0712	1.5656	160.0049	36.3900	36	-100	28	0.00000000	0.00000000 
22.314	-0.0273	0.0190	1.0181	0.0000	0.0000	0.0000	1.0712	1.5656	160.0104	36.4000	36	-99	29	0.00000000	0.00000000 
22.414	-0.0278	0.0195	1.0181	0.0000	0.0000	0.0000	1.0767	1.5656	160.0269	36.3700	36	-101	30	0.00000000	0.00000000 
22.514	-0.0273	0.0195	1.0181	0.0000	0.0000	0.0000	1.0767	1.5656	160.0269	36.4300	36	-101	30	0.00000000	0.00000000 
22.614	-0.0273	0.0195	1.0181	0.0000	0.0000	0.0000	1.0767	1.5601	160.0323	36.4800	35	-101	30	0.00000000	0.00000000 
22.713	-0.0269	0.0190	1.0181	0.0000	0.0000	0.0000	1.0767	1.5601	160.0378	36.4700	36	-101	29	0.00000000	0.00000000 
22.814	-0.0273	0.0190	1.0190	0.0000	0.0000	0.0000	1.0767	1.5601	160.0433	36.4600	35	-101	29	0.00000000	0.00000000 
22.918	-0.0278	0.0190	1.0190	0.0000	0.0000	0.0000	1.0767	1.5546	160.0323	36.4800	37	-100	30	0.00000000	0.00000000 
23.013	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0767	1.5601	159.9939	36.4700	37	-100	30	0.00000000	0.00000000 
23.140	-0.0283	0.0190	1.0186	0.0000	0.0000	0.0000	1.0767	1.5601	159.9500	36.5000	37	-100	30	0.00000000	0.00000000 
23.213	-0.0283	0.0195	1.0181	0.0000	0.0000	0.0000	1.0767	1.5601	159.9664	36.5100	35	-100	29	0.00000000	0.00000000 
23.321	-0.0283	0.0195	1.0181	0.0000	0.0000	0.0000	1.0767	1.5601	160.0049	36.5200	35	-101	29	0.00000000	0.00000000 
23.412	-0.0283	0.0195	1.0186	0.0000	0.0000	0.0000	1.0767	1.5656	159.9939	36.4900	37	-99	29	0.00000000	0.00000000 
23.529	-0.0278	0.0195	1.0181	0.0000	0.0000	0.0000	1.0767	1.5656	159.9719	36.5500	36	-101	30	0.00000000	0.00000000 
23.612	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0767	1.5656	159.9719	36.5300	37	-101	30	0.00000000	0.00000000 
